commodity,market,region,pricetype,source,n_records,last_obs,months_stale,mae,mape,reliable
Beans (dry),Busia,,Wholesale,FEWS,86,2024-03-01,30,40.883,24.5,True
Beans (dry),Eldoret,Rift Valley,Wholesale,FEWS,221,2026-05-01,4,36.774,27.27,False
Beans (dry),Kisumu,Nyanza,Wholesale,FEWS,232,2026-07-01,2,19.494,11.66,True
Beans (dry),Kitale,Rift Valley,Wholesale,FEWS,119,2026-03-01,6,26.446,24.8,True
Beans (dry),Kitui,Eastern,Wholesale,FEWS,101,2025-11-01,10,21.39,16.16,True
Beans (dry),Mombasa,,Wholesale,FEWS,202,2025-11-01,10,43.666,24.86,True
Beans (dry),Nairobi,Nairobi,Wholesale,FEWS,243,2026-07-01,2,45.048,39.15,False
Beans (mixed),Ahero,Nyanza,Retail,FEWS,70,2026-06-01,3,26.869,18.87,True
Beans (mixed),Bomet,Rift Valley,Retail,FEWS,87,2026-06-01,3,22.328,14.98,True
Beans (mixed),Butere,Western,Retail,FEWS,86,2026-06-01,3,28.358,18.91,True
Beans (mixed),Eldoret,Rift Valley,Retail,FEWS,77,2026-06-01,3,21.005,13.07,True
Beans (mixed),Embu-Mbeere,Eastern,Retail,FEWS,124,2026-07-01,2,11.136,8.44,True
Beans (mixed),Gakoromere,Eastern,Retail,FEWS,88,2026-06-01,3,6.991,5.46,True
Beans (mixed),Gatundu,Central,Retail,FEWS,82,2026-06-01,3,37.441,24.41,True
Beans (mixed),Githurai,Nairobi,Retail,FEWS,88,2026-06-01,3,14.266,11.41,True
Beans (mixed),Hola,Coast,Retail,FEWS,80,2026-06-01,3,17.543,10.83,True
Beans (mixed),Iciara,Eastern,Retail,FEWS,74,2026-06-01,3,27.559,22.83,True
Beans (mixed),Iten,,Retail,FEWS,67,2026-05-01,4,119.746,83.6,False
Beans (mixed),Kabarnet,,Retail,FEWS,73,2026-02-01,7,56.671,35.34,False
Beans (mixed),Kajiado,Rift Valley,Retail,FEWS,79,2026-05-01,4,135.866,87.65,False
Beans (mixed),Kakamega,Western,Retail,FEWS,86,2026-06-01,3,59.65,40.67,False
Beans (mixed),Kalundu,Eastern,Retail,FEWS,83,2026-06-01,3,21.249,15.29,True
Beans (mixed),Kapsabet,Rift Valley,Retail,FEWS,86,2026-06-01,3,45.413,28.58,False
Beans (mixed),Karatina,Central,Retail,FEWS,87,2026-06-01,3,11.942,9.48,True
Beans (mixed),Kerugoya,Central,Retail,FEWS,85,2026-06-01,3,13.351,10.59,True
Beans (mixed),Kiambu,Central,Retail,FEWS,76,2026-06-01,3,8.147,4.87,True
Beans (mixed),Kianjai,Eastern,Retail,FEWS,84,2026-06-01,3,15.778,13.36,True
Beans (mixed),Kiboswa,,Retail,FEWS,70,2026-06-01,3,45.938,31.39,False
Beans (mixed),Kibuye,Nyanza,Retail,FEWS,71,2026-06-01,3,7.216,4.54,True
Beans (mixed),Kilifi,Coast,Retail,FEWS,160,2026-07-01,2,17.793,13.1,True
Beans (mixed),Kimulot,Rift Valley,Retail,FEWS,85,2026-06-01,3,11.811,8.66,True
Beans (mixed),Kipkaren,Rift Valley,Retail,FEWS,89,2026-06-01,3,35.966,24.85,True
Beans (mixed),Kiritiri,Eastern,Retail,FEWS,74,2026-06-01,3,24.796,20.12,True
Beans (mixed),Kitale,Rift Valley,Retail,FEWS,84,2026-06-01,3,14.325,11.12,True
Beans (mixed),Kitui,Eastern,Retail,FEWS,246,2026-07-01,2,29.1,22.08,True
Beans (mixed),Kongowea,Coast,Retail,FEWS,95,2026-06-01,3,54.355,47.38,False
Beans (mixed),Kutus,Central,Retail,FEWS,86,2026-06-01,3,11.267,74.72,False
Beans (mixed),Kwale,Coast,Retail,FEWS,76,2026-06-01,3,35.401,25.57,False
Beans (mixed),Lamu,Coast,Retail,FEWS,123,2026-07-01,2,7.755,4.32,True
Beans (mixed),Lodwar,,Retail,FEWS,69,2026-06-01,3,88.841,69.62,False
