commodity,market,pricetype,latest_date,latest_price,normal_low,normal_high,status,deviation_pct
Beans (dry),Eldoret,Wholesale,2026-05-01,105.0,0.0,162.29,NORMAL,0.0
Beans (dry),Kisumu,Wholesale,2026-07-01,176.0,0.0,177.88,NORMAL,0.0
Beans (dry),Kitale,Wholesale,2026-03-01,121.0,0.0,162.69,NORMAL,0.0
Beans (dry),Nairobi,Wholesale,2026-07-01,115.0,0.0,154.25,NORMAL,0.0
Beans (mixed),Ahero,Retail,2026-06-01,127.6,51.6,202.8,NORMAL,0.0
Beans (mixed),Bomet,Retail,2026-06-01,172.6,0.0,235.79,NORMAL,0.0
Beans (mixed),Bondo,Retail,2026-06-01,160.7,5.16,358.46,NORMAL,0.0
Beans (mixed),Bumala,Retail,2026-06-01,150.0,29.68,295.47,NORMAL,0.0
Beans (mixed),Bungoma Town,Retail,2026-06-01,151.7,57.75,224.95,NORMAL,0.0
Beans (mixed),Burma,Retail,2026-06-01,190.0,117.75,249.35,NORMAL,0.0
Beans (mixed),Busia Town,Retail,2026-06-01,140.0,48.28,276.35,NORMAL,0.0
Beans (mixed),Butere,Retail,2026-06-01,144.5,6.9,278.1,NORMAL,0.0
Beans (mixed),Chuka Town,Retail,2026-06-01,113.4,69.34,171.71,NORMAL,0.0
Beans (mixed),Daraja Mbili,Retail,2026-06-01,173.0,0.0,278.82,NORMAL,0.0
Beans (mixed),Eldoret,Retail,2026-06-01,203.9,26.35,227.75,NORMAL,0.0
Beans (mixed),Embu Town,Retail,2026-06-01,164.5,0.0,233.64,NORMAL,0.0
Beans (mixed),Embu-Mbeere,Retail,2026-07-01,125.0,11.25,189.25,NORMAL,0.0
Beans (mixed),Gakoromere,Retail,2026-06-01,123.1,0.0,240.13,NORMAL,0.0
Beans (mixed),Gatundu,Retail,2026-06-01,146.2,3.45,245.45,NORMAL,0.0
Beans (mixed),Gikomba,Retail,2026-05-01,182.5,0.0,331.17,NORMAL,0.0
Beans (mixed),Githurai,Retail,2026-06-01,112.2,33.54,203.56,NORMAL,0.0
Beans (mixed),Hola,Retail,2026-06-01,180.0,87.75,173.75,SPIKE,3.6
Beans (mixed),Homabay,Retail,2026-06-01,163.5,105.04,237.94,NORMAL,0.0
Beans (mixed),Iciara,Retail,2026-06-01,157.3,27.4,217.8,NORMAL,0.0
Beans (mixed),Isiolo Town,Retail,2026-06-01,146.9,0.0,304.6,NORMAL,0.0
Beans (mixed),Iten,Retail,2026-05-01,162.5,12.59,245.69,NORMAL,0.0
Beans (mixed),Kajiado,Retail,2026-05-01,150.0,54.44,207.34,NORMAL,0.0
Beans (mixed),Kakamega,Retail,2026-06-01,130.3,0.0,294.9,NORMAL,0.0
Beans (mixed),Kalundu,Retail,2026-06-01,140.0,40.0,200.0,NORMAL,0.0
Beans (mixed),Kangemi,Retail,2026-05-01,180.0,95.0,295.0,NORMAL,0.0
Beans (mixed),Kapsabet,Retail,2026-06-01,156.6,17.55,238.75,NORMAL,0.0
Beans (mixed),Karatina,Retail,2026-06-01,142.1,31.29,222.5,NORMAL,0.0
Beans (mixed),Kawangware,Retail,2026-06-01,171.7,23.75,160.35,SPIKE,7.1
Beans (mixed),Kayole,Retail,2026-06-01,140.6,106.25,196.25,NORMAL,0.0
Beans (mixed),Kerugoya,Retail,2026-06-01,126.4,0.0,214.7,NORMAL,0.0
Beans (mixed),Kiambu,Retail,2026-06-01,175.0,0.0,280.68,NORMAL,0.0
Beans (mixed),Kianjai,Retail,2026-06-01,99.5,16.01,188.87,NORMAL,0.0
Beans (mixed),Kiboswa,Retail,2026-06-01,150.0,43.35,208.55,NORMAL,0.0
Beans (mixed),Kibuye,Retail,2026-06-01,152.3,32.54,235.04,NORMAL,0.0
Beans (mixed),Kilifi,Retail,2026-07-01,142.0,34.0,178.0,NORMAL,0.0
Beans (mixed),Kimulot,Retail,2026-06-01,131.6,0.0,248.35,NORMAL,0.0
Beans (mixed),Kipkaren,Retail,2026-06-01,177.2,32.84,211.94,NORMAL,0.0
Beans (mixed),Kiritiri,Retail,2026-06-01,166.7,24.1,216.9,NORMAL,0.0
Beans (mixed),Kitale,Retail,2026-06-01,137.9,0.87,220.76,NORMAL,0.0
Beans (mixed),Kitui,Retail,2026-07-01,130.0,35.5,127.5,SPIKE,2.0
Beans (mixed),Kongowea,Retail,2026-06-01,123.8,53.75,143.75,NORMAL,0.0
Beans (mixed),Korokocho,Retail,2026-05-01,185.0,0.0,290.62,NORMAL,0.0
Beans (mixed),Kutus,Retail,2026-06-01,111.0,0.0,195.3,NORMAL,0.0
Beans (mixed),Kwale,Retail,2026-06-01,127.5,0.0,228.75,NORMAL,0.0
Beans (mixed),Lamu,Retail,2026-07-01,178.0,6.62,271.62,NORMAL,0.0
Beans (mixed),Lodwar,Retail,2026-06-01,144.2,39.43,189.98,NORMAL,0.0
Beans (mixed),Machakos Town,Retail,2026-06-01,161.3,0.0,322.5,NORMAL,0.0
Beans (mixed),Majengo,Retail,2026-05-01,140.0,58.0,170.0,NORMAL,0.0
Beans (mixed),Makueni,Retail,2026-07-01,144.0,0.0,236.75,NORMAL,0.0
