commodity,market,region,pricetype,strategy,forecast_date,horizon_months,forecast_price_kes,forecast_lower,forecast_upper,test_mape,months_stale,confidence
Beans (dry),Busia,Western,Wholesale,chronos,2024-04-01,3,120.02,116.17,131.5,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-05-01,3,120.02,107.19,133.76,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-06-01,3,120.02,104.17,131.72,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-04-01,6,120.02,117.61,131.5,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-05-01,6,120.02,112.93,133.69,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-06-01,6,120.02,109.15,141.31,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-07-01,6,120.02,96.55,139.72,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-08-01,6,120.02,98.74,140.48,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-09-01,6,120.02,97.23,143.35,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-04-01,12,120.02,113.08,133.61,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-05-01,12,120.02,108.17,143.65,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-06-01,12,120.02,100.32,134.89,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-07-01,12,120.02,96.47,133.84,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-08-01,12,120.02,96.47,137.46,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-09-01,12,120.02,95.11,141.91,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-10-01,12,120.02,95.04,141.69,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-11-01,12,120.02,94.96,148.86,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2024-12-01,12,120.78,93.53,145.01,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2025-01-01,12,120.78,95.79,147.5,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2025-02-01,12,121.53,95.79,142.22,21.46,30,low
Beans (dry),Busia,Western,Wholesale,chronos,2025-03-01,12,121.91,93.53,142.74,21.46,30,low
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-08-01,3,170.14,155.71,188.67,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-09-01,3,170.81,152.83,189.94,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-10-01,3,168.46,152.76,185.31,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-08-01,6,172.49,157.66,186.59,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-09-01,6,170.48,155.04,185.98,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-10-01,6,168.46,154.84,181.28,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-11-01,6,168.8,149.67,190.01,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-12-01,6,167.12,149.0,186.18,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-01-01,6,167.79,149.0,190.01,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-08-01,12,173.83,158.4,190.61,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-09-01,12,172.49,154.57,188.6,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-10-01,12,170.14,149.67,186.65,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-11-01,12,167.79,152.16,186.65,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-12-01,12,167.79,150.88,185.38,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-01-01,12,167.79,150.28,190.61,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-02-01,12,168.13,148.93,190.01,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-03-01,12,172.83,152.09,191.28,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-04-01,12,168.8,152.22,189.94,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-05-01,12,170.81,155.71,191.28,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-06-01,12,168.46,148.93,191.35,13.07,2,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-07-01,12,167.79,149.54,191.28,13.07,2,medium
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-04-01,3,120.18,109.66,126.38,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-05-01,3,117.96,104.56,128.48,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-06-01,3,116.85,103.56,129.04,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-04-01,6,120.73,110.21,127.99,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-05-01,6,120.18,106.89,129.04,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-06-01,6,118.79,104.06,129.65,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-07-01,6,117.13,100.79,133.03,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-08-01,6,119.35,99.63,133.58,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-09-01,6,119.35,99.69,135.68,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-04-01,12,120.18,111.32,126.27,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-05-01,12,120.18,104.56,127.6,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-06-01,12,118.79,101.35,129.2,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-07-01,12,119.9,101.79,130.76,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-08-01,12,120.73,101.29,131.36,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-09-01,12,119.62,97.86,132.64,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-10-01,12,119.07,98.52,135.85,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-11-01,12,118.79,96.92,134.8,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2026-12-01,12,119.07,96.86,134.13,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2027-01-01,12,115.47,95.75,135.13,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2027-02-01,12,116.3,97.42,134.08,8.45,6,high
Beans (dry),Kitale,Rift Valley,Wholesale,chronos,2027-03-01,12,115.75,100.79,134.58,8.45,6,high
Beans (dry),Kitui,Eastern,Wholesale,prophet,2025-12-01,3,130.06,115.93,143.93,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-01-01,3,141.96,128.13,154.93,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-02-01,3,143.36,129.98,156.83,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2025-12-01,6,130.06,115.55,143.55,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-01-01,6,141.96,128.51,155.32,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-02-01,6,143.36,129.63,156.1,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-03-01,6,154.0,140.56,166.87,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-04-01,6,142.86,129.14,156.64,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-05-01,6,140.69,128.28,155.76,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2025-12-01,12,130.06,116.16,143.25,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-01-01,12,141.96,128.76,155.6,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-02-01,12,143.36,130.28,156.95,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-03-01,12,154.0,139.96,168.75,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-04-01,12,142.86,129.45,156.54,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-05-01,12,140.69,127.09,153.78,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-06-01,12,138.62,125.62,153.19,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-07-01,12,137.98,125.17,151.34,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-08-01,12,151.59,136.27,165.09,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-09-01,12,145.33,132.16,159.25,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-10-01,12,142.92,128.96,156.23,17.74,10,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-11-01,12,147.48,133.71,161.47,17.74,10,medium
Beans (dry),Mombasa,Coast,Wholesale,prophet,2025-12-01,3,140.6,126.62,154.92,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-01-01,3,141.27,125.84,156.33,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-02-01,3,164.32,150.18,179.29,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2025-12-01,6,140.6,125.33,156.0,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-01-01,6,141.27,125.98,155.61,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-02-01,6,164.32,150.25,178.99,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-03-01,6,169.75,155.84,184.26,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-04-01,6,176.31,161.85,191.88,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-05-01,6,187.56,172.37,202.82,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2025-12-01,12,140.6,126.88,155.99,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-01-01,12,141.27,127.1,155.62,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-02-01,12,164.32,149.59,178.44,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-03-01,12,169.75,154.15,183.72,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-04-01,12,176.31,162.71,191.45,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-05-01,12,187.56,173.97,202.0,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-06-01,12,197.0,182.3,211.93,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-07-01,12,175.25,160.57,190.25,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-08-01,12,174.81,159.55,189.85,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-09-01,12,174.19,159.07,188.97,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-10-01,12,164.48,149.78,180.49,30.69,10,low
Beans (dry),Mombasa,Coast,Wholesale,prophet,2026-11-01,12,171.88,158.58,187.17,30.69,10,low
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-07-01,3,127.42,119.77,143.75,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-08-01,3,129.31,114.11,146.3,6.49,3,high
