date,region,county,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,date_month,rainfall_mm,price_per_kg,month,year,season,lag_1,lag_3,lag_6,lag_12,rolling_3m_avg,rolling_6m_avg,rolling_12m_avg,price_vs_regional_avg,price_label
2024-09-15,Coast,Tana River,Adele Center,10441,-0.47,39.61,pulses and nuts,Beans,50,KG,actual,Retail,KES,160.0,1.24,2024-09-01,25.078333333333333,160.0,9,2024,Dry Season,,,,,160.0,160.0,160.0,1.050687461522676,Average
2024-03-15,North Eastern,Garissa,Alango Arba,10354,-0.1,39.99,pulses and nuts,Beans,50,KG,actual,Retail,KES,200.0,1.49,2024-03-01,10.613333333333332,200.0,3,2024,Long Rains,,,,,200.0,200.0,200.0,1.0973936899862826,Average
2024-06-15,North Eastern,Garissa,Alango Arba,10354,-0.1,39.99,pulses and nuts,Beans,50,KG,actual,Retail,KES,200.0,1.55,2024-06-01,4.093333333333334,200.0,6,2024,Dry Season,200.0,,,,200.0,200.0,200.0,1.2012012012012012,Expensive
2024-09-15,North Eastern,Garissa,Alango Arba,10354,-0.1,39.99,pulses and nuts,Beans,50,KG,actual,Retail,KES,190.0,1.48,2024-09-01,3.866666666666666,190.0,9,2024,Dry Season,200.0,,,,196.66666666666663,196.66666666666663,196.66666666666663,1.1433260393873086,Expensive
2023-12-15,Rift Valley,Turkana,Alemsekon,10457,3.53,34.82,pulses and nuts,Beans,50,KG,actual,Retail,KES,155.0,1.01,2023-12-01,79.61142857142856,155.0,12,2023,Short Rains,,,,,155.0,155.0,155.0,0.888362820832295,Cheap
2024-03-15,Rift Valley,Turkana,Alemsekon,10457,3.53,34.82,pulses and nuts,Beans,50,KG,actual,Retail,KES,203.0,1.51,2024-03-01,58.457142857142856,203.0,3,2024,Long Rains,155.0,,,,179.0,179.0,179.0,1.2085857530812618,Expensive
2024-06-15,Rift Valley,Turkana,Alemsekon,10457,3.53,34.82,pulses and nuts,Beans,50,KG,actual,Retail,KES,188.0,1.46,2024-06-01,80.53142857142858,188.0,6,2024,Dry Season,203.0,,,,182.0,182.0,182.0,1.2115503779898376,Expensive
2024-09-15,Rift Valley,Turkana,Alemsekon,10457,3.53,34.82,pulses and nuts,Beans,50,KG,actual,Retail,KES,164.0,1.27,2024-09-01,140.00214285714284,164.0,9,2024,Dry Season,188.0,155.0,,,185.0,177.5,177.5,1.1515506143943828,Expensive
2024-03-15,North Eastern,Garissa,Alinjugur,10362,-0.03,40.46,pulses and nuts,Beans,50,KG,actual,Retail,KES,194.0,1.45,2024-03-01,10.613333333333332,194.0,3,2024,Long Rains,,,,,194.0,194.0,194.0,1.064471879286694,Average
2024-06-15,North Eastern,Garissa,Alinjugur,10362,-0.03,40.46,pulses and nuts,Beans,50,KG,actual,Retail,KES,192.0,1.49,2024-06-01,4.093333333333334,192.0,6,2024,Dry Season,194.0,,,,193.0,193.0,193.0,1.1531531531531531,Expensive
