commodity,market,pricetype,date,price_per_kg,rainfall_mm,GPR,diesel_price_kes,source,admin1,latitude,longitude,category
Beans (dry),Eldoret,Wholesale,2006-01-01,31.1,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-02-01,35.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-03-01,36.72222222222222,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-04-01,34.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-05-01,36.78888888888889,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-06-01,33.08888888888889,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-07-01,25.11111111111111,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-08-01,21.944444444444443,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-09-01,30.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-10-01,26.666666666666668,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-11-01,29.72222222222222,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2006-12-01,28.88888888888889,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-01-01,30.33333333333333,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-02-01,30.933333333333334,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-03-01,30.322222222222223,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-04-01,31.55555555555556,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-05-01,30.8,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-06-01,31.11111111111111,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-07-01,30.25555555555556,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-08-01,26.8,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-09-01,26.92222222222222,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-10-01,29.05555555555556,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-11-01,31.11111111111111,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2007-12-01,32.36666666666667,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-01-01,35.55555555555556,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-02-01,43.11111111111112,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-03-01,44.44444444444444,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-04-01,52.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-05-01,53.333333333333336,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-06-01,53.15555555555556,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-07-01,43.477777777777774,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-08-01,38.4,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-09-01,41.94444444444444,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-10-01,47.03333333333333,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-11-01,45.74444444444445,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2008-12-01,47.41111111111111,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-01-01,52.96666666666667,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-02-01,51.3,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-03-01,52.16666666666666,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-04-01,54.422222222222224,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-05-01,55.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-06-01,49.3,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-07-01,50.22222222222222,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-08-01,51.77777777777778,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-09-01,54.72222222222222,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-10-01,53.888888888888886,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-11-01,53.888888888888886,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2009-12-01,55.31111111111111,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-01-01,55.55555555555556,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-02-01,55.66666666666666,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-03-01,56.3,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-04-01,55.922222222222224,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-05-01,46.422222222222224,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-06-01,40.3,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-07-01,31.57777777777778,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-08-01,30.92222222222222,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-09-01,33.333333333333336,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-10-01,48.888888888888886,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-11-01,44.333333333333336,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2010-12-01,44.72222222222222,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-01-01,53.11111111111112,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-02-01,63.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-03-01,67.87777777777778,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-04-01,85.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-05-01,96.66666666666669,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-06-01,100.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-07-01,74.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-08-01,70.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-09-01,65.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-10-01,70.33333333333333,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-11-01,70.81111111111112,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2011-12-01,58.81111111111111,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2012-01-01,60.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2012-02-01,60.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2012-03-01,63.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2012-04-01,81.4888888888889,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2012-05-01,100.0,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2012-06-01,97.77777777777776,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
Beans (dry),Eldoret,Wholesale,2012-07-01,85.75555555555556,,,,WFP,Rift Valley,0.52,35.28,pulses and nuts
