commodity,market,pricetype,date,price_per_kg,rainfall_mm,GPR,diesel_price_kes,source,admin1,latitude,longitude,category
Beans (dry),Busia,Wholesale,2014-11-01,75.5,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2016-03-01,95.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2016-04-01,90.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2016-05-01,100.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2016-06-01,87.22222222222223,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2016-07-01,82.5,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2016-08-01,80.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2016-09-01,90.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2016-10-01,88.33333333333333,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2016-11-01,95.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2016-12-01,93.33333333333331,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-01-01,100.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-02-01,96.66666666666669,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-03-01,111.26388888888889,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-04-01,132.5,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-05-01,112.5,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-07-01,75.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-08-01,85.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-09-01,88.66666666666667,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-10-01,80.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-11-01,78.33333333333333,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2017-12-01,90.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-01-01,96.25,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-02-01,100.5,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-03-01,107.5,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-04-01,85.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-05-01,57.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-06-01,76.875,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-07-01,71.66666666666667,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-08-01,71.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-09-01,70.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-10-01,74.125,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-11-01,70.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2018-12-01,73.33333333333333,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2019-01-01,80.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2019-02-01,91.04166666666669,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2019-03-01,97.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2019-04-01,107.5,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2019-05-01,115.41666666666669,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2019-06-01,116.25,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2019-07-01,92.5,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2019-08-01,102.962962963,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
Beans (dry),Busia,Wholesale,2019-09-01,140.0,,,,FEWS,Western,0.462451,34.1065,pulses and nuts
