date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,date_month,rainfall_mm,GPR,diesel_price_kes,rainfall_lag3,rainfall_lag6,price_per_kg
2021-01-15,Coast,Mombasa,Bangladesh (Mombasa),4238,-4.01,39.63,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.091,2021-01-01,20.015,77.418701171875,96.4,,,
2021-03-15,Coast,Mombasa,Bangladesh (Mombasa),4238,-4.01,39.63,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.091,2021-03-01,21.761666666666667,78.61876678466797,107.66,,,
2021-04-15,Coast,Mombasa,Bangladesh (Mombasa),4238,-4.01,39.63,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.094,2021-04-01,83.16,88.16622161865234,107.66,,,
2021-08-15,Coast,Mombasa,Bangladesh (Mombasa),4238,-4.01,39.63,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.092,2021-08-01,18.683333333333334,89.4865493774414,107.66,20.015,,
2021-09-15,Coast,Mombasa,Bangladesh (Mombasa),4238,-4.01,39.63,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.091,2021-09-01,31.35333333333333,80.69696807861328,115.6,21.761666666666667,,
2021-10-15,Coast,Mombasa,Bangladesh (Mombasa),4238,-4.01,39.63,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.09,2021-10-01,18.731666666666666,79.02923583984375,110.6,83.16,,
2021-11-15,Coast,Mombasa,Bangladesh (Mombasa),4238,-4.01,39.63,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.089,2021-11-01,36.605,86.56914520263672,110.6,18.683333333333334,20.015,
2021-03-15,North Eastern,Garissa,Dadaab town,3243,0.06,40.31,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.046,2021-03-01,6.166666666666667,78.61876678466797,107.66,,,
2021-04-15,North Eastern,Garissa,Dadaab town,3243,0.06,40.31,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.094,2021-04-01,72.40666666666667,88.16622161865234,107.66,,,
2018-12-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.098,2018-12-01,58.44333333333333,90.607666015625,112.28,,,
2019-01-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.098,2019-01-01,1.5099999999999998,87.42410278320312,102.24,,,
2021-03-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.88,0.09,2021-03-01,6.166666666666667,78.61876678466797,107.66,,,
2021-04-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.39,0.088,2021-04-01,72.40666666666667,88.16622161865234,107.66,58.44333333333333,,
2021-05-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,8.89,0.083,2021-05-01,16.683333333333334,93.00713348388672,107.66,1.5099999999999998,,
