date,market,commodity,price_per_kg,pricetype,unit,source,admin1,latitude,longitude,category,rainfall_mm,rainfall_lag3,rainfall_lag6,date_month,GPR,diesel_price_kes,rainfall_mm_market,rainfall_lag3_market,rainfall_lag6_market
2024-09-15,Adele Center,Beans,160.0,Retail,KG,WFP,Coast,-0.47,39.61,pulses and nuts,25.078333333333333,,,2024-09-01,130.35877990722656,171.6,3.0,9.9,25.11
2024-03-15,Alango Arba,Beans,200.0,Retail,KG,WFP,North Eastern,-0.1,39.99,pulses and nuts,10.613333333333332,,,2024-03-01,133.21316528320312,190.38,16.12,41.54,7.2
2024-06-15,Alango Arba,Beans,200.0,Retail,KG,WFP,North Eastern,-0.1,39.99,pulses and nuts,4.093333333333334,,,2024-06-01,113.0927963256836,173.1,7.5,16.12,41.54
2024-09-15,Alango Arba,Beans,190.0,Retail,KG,WFP,North Eastern,-0.1,39.99,pulses and nuts,3.866666666666666,,,2024-09-01,130.35877990722656,171.6,3.6,7.5,16.12
2023-12-15,Alemsekon,Beans,155.0,Retail,KG,WFP,Rift Valley,3.53,34.82,pulses and nuts,79.61142857142856,,,2023-12-01,142.2794647216797,201.47,16.12,16.2,20.4
2024-03-15,Alemsekon,Beans,203.0,Retail,KG,WFP,Rift Valley,3.53,34.82,pulses and nuts,58.457142857142856,,,2024-03-01,133.21316528320312,190.38,93.0,16.12,16.2
2024-06-15,Alemsekon,Beans,188.0,Retail,KG,WFP,Rift Valley,3.53,34.82,pulses and nuts,80.53142857142858,,,2024-06-01,113.0927963256836,173.1,28.2,93.0,16.12
2024-09-15,Alemsekon,Beans,164.0,Retail,KG,WFP,Rift Valley,3.53,34.82,pulses and nuts,140.00214285714284,79.61142857142856,,2024-09-01,130.35877990722656,171.6,27.0,28.2,93.0
2024-03-15,Alinjugur,Beans,194.0,Retail,KG,WFP,North Eastern,-0.03,40.46,pulses and nuts,10.613333333333332,,,2024-03-01,133.21316528320312,190.38,13.95,42.47,9.9
2024-06-15,Alinjugur,Beans,192.0,Retail,KG,WFP,North Eastern,-0.03,40.46,pulses and nuts,4.093333333333334,,,2024-06-01,113.0927963256836,173.1,16.2,13.95,42.47
2024-09-15,Alinjugur,Beans,196.0,Retail,KG,WFP,North Eastern,-0.03,40.46,pulses and nuts,3.866666666666666,,,2024-09-01,130.35877990722656,171.6,2.7,16.2,13.95
2024-09-15,Alungu,Beans,213.0,Retail,KG,WFP,North Eastern,3.05,41.06,pulses and nuts,3.866666666666666,,,2024-09-01,130.35877990722656,171.6,2.7,6.0,14.88
2024-03-15,Amaya,Beans,153.0,Retail,KG,WFP,Rift Valley,0.77,36.41,pulses and nuts,58.457142857142856,,,2024-03-01,133.21316528320312,190.38,39.06,28.83,92.1
2023-12-15,Aposta,Beans,167.0,Retail,KG,WFP,Rift Valley,4.06,34.52,pulses and nuts,79.61142857142856,,,2023-12-01,142.2794647216797,201.47,12.09,62.4,81.9
2024-03-15,Aposta,Beans,138.0,Retail,KG,WFP,Rift Valley,4.06,34.52,pulses and nuts,58.457142857142856,,,2024-03-01,133.21316528320312,190.38,51.15,12.09,62.4
2024-06-15,Aposta,Beans,178.0,Retail,KG,WFP,Rift Valley,4.06,34.52,pulses and nuts,80.53142857142858,,,2024-06-01,113.0927963256836,173.1,66.3,51.15,12.09
2024-09-15,Aposta,Beans,140.0,Retail,KG,WFP,Rift Valley,4.06,34.52,pulses and nuts,140.00214285714284,79.61142857142856,,2024-09-01,130.35877990722656,171.6,50.1,66.3,51.15
2024-09-15,Archers Post,Beans,103.0,Retail,KG,WFP,Rift Valley,0.64,37.67,pulses and nuts,140.00214285714284,,,2024-09-01,130.35877990722656,171.6,31.8,9.9,36.27
2026-03-15,Archers Post,Beans,115.0,Retail,KG,WFP,Rift Valley,0.64,37.67,pulses and nuts,0.85,,,2026-03-01,330.17681884765625,166.54,,,
2023-12-15,Ashabito,Beans,259.0,Retail,KG,WFP,North Eastern,3.55,40.87,pulses and nuts,12.123333333333331,,,2023-12-01,142.2794647216797,201.47,1.86,2.1,232.2
2024-03-15,Ashabito,Beans,200.0,Retail,KG,WFP,North Eastern,3.55,40.87,pulses and nuts,10.613333333333332,,,2024-03-01,133.21316528320312,190.38,19.22,1.86,2.1
2023-12-15,Bangale,Beans,170.0,Retail,KG,WFP,Coast,-0.72,39.02,pulses and nuts,82.7,,,2023-12-01,142.2794647216797,201.47,44.33,3.9,23.1
2024-03-15,Bangale,Beans,168.0,Retail,KG,WFP,Coast,-0.72,39.02,pulses and nuts,56.07666666666666,,,2024-03-01,133.21316528320312,190.38,31.62,44.33,3.9
2024-06-15,Bangale,Beans,170.0,Retail,KG,WFP,Coast,-0.72,39.02,pulses and nuts,29.886666666666667,,,2024-06-01,113.0927963256836,173.1,3.9,31.62,44.33
2024-09-15,Bangale,Beans,156.0,Retail,KG,WFP,Coast,-0.72,39.02,pulses and nuts,25.078333333333333,82.7,,2024-09-01,130.35877990722656,171.6,2.4,3.9,31.62
2025-03-15,Bangale,Beans,147.0,Retail,KG,WFP,Coast,-0.72,39.02,pulses and nuts,66.12166666666667,56.07666666666666,,2025-03-01,175.901123046875,167.06,61.38,21.7,2.4
2026-03-15,Bangale,Beans,130.0,Retail,KG,WFP,Coast,-0.72,39.02,pulses and nuts,1.06,29.886666666666667,,2026-03-01,330.17681884765625,166.54,,,
2024-03-15,Banissa,Beans,227.0,Retail,KG,WFP,North Eastern,3.94,40.34,pulses and nuts,10.613333333333332,,,2024-03-01,133.21316528320312,190.38,26.66,2.17,2.7
2025-03-15,Banissa,Beans,187.0,Retail,KG,WFP,North Eastern,3.94,40.34,pulses and nuts,43.05,,,2025-03-01,175.901123046875,167.06,50.84,0.0,4.2
2025-06-15,Banissa,Beans,190.0,Retail,KG,WFP,North Eastern,3.94,40.34,pulses and nuts,10.056666666666668,,,2025-06-01,222.58563232421875,162.91,2.1,50.84,0.0
2025-12-15,Banissa,Beans,200.0,Retail,KG,WFP,North Eastern,3.94,40.34,pulses and nuts,6.963333333333334,10.613333333333332,,2025-12-01,132.48622131347656,171.47,6.82,28.2,2.1
2023-12-15,Baragoi,Beans,140.0,Retail,KG,WFP,Rift Valley,1.65,37.03,pulses and nuts,79.61142857142856,,,2023-12-01,142.2794647216797,201.47,20.15,6.3,10.5
2024-03-15,Baragoi,Beans,100.0,Retail,KG,WFP,Rift Valley,1.65,37.03,pulses and nuts,58.457142857142856,,,2024-03-01,133.21316528320312,190.38,10.85,20.15,6.3
2024-06-15,Baragoi,Beans,112.0,Retail,KG,WFP,Rift Valley,1.65,37.03,pulses and nuts,80.53142857142858,,,2024-06-01,113.0927963256836,173.1,3.9,10.85,20.15
2024-09-15,Baragoi,Beans,91.0,Retail,KG,WFP,Rift Valley,1.65,37.03,pulses and nuts,140.00214285714284,79.61142857142856,,2024-09-01,130.35877990722656,171.6,6.6,3.9,10.85
