code,county,year_month,rainfall_mm,date
KEN.1331,Uasin Gishu,1950-01,72.31,1950-01-01
KEN.13310,Kisii,1950-01,282.98,1950-01-01
KEN.13311,Bomet,1950-01,249.95,1950-01-01
KEN.13312,Nyamira,1950-01,253.24,1950-01-01
KEN.13313,Busia,1950-01,175.51,1950-01-01
KEN.13314,Bungoma,1950-01,156.47,1950-01-01
KEN.13315,Tana River,1950-01,22.38,1950-01-01
KEN.13316,Kakamega,1950-01,113.54,1950-01-01
KEN.13317,Meru,1950-01,99.09,1950-01-01
KEN.13318,Mombasa,1950-01,31.52,1950-01-01
KEN.13319,Trans Nzoia,1950-01,123.53,1950-01-01
KEN.1332,Kericho,1950-01,160.4,1950-01-01
KEN.13320,Nairobi,1950-01,30.15,1950-01-01
KEN.13321,Wajir,1950-01,19.87,1950-01-01
KEN.13322,Vihiga,1950-01,200.05,1950-01-01
KEN.13323,Narok,1950-01,153.78,1950-01-01
KEN.13324,Embu,1950-01,77.1,1950-01-01
KEN.13325,Kilifi,1950-01,39.59,1950-01-01
KEN.13326,Murang'a,1950-01,57.58,1950-01-01
KEN.13327,Kiambu,1950-01,39.16,1950-01-01
KEN.13328,Kirinyaga,1950-01,162.7,1950-01-01
KEN.13329,Homa Bay,1950-01,177.06,1950-01-01
KEN.1333,Nandi,1950-01,143.86,1950-01-01
KEN.13330,Isiolo,1950-01,33.51,1950-01-01
KEN.13331,West Pokot,1950-01,34.98,1950-01-01
KEN.13332,Makueni,1950-01,66.82,1950-01-01
KEN.13333,Kajiado,1950-01,67.28,1950-01-01
KEN.13334,Machakos,1950-01,56.08,1950-01-01
KEN.13335,Elgeyo-Marakwet,1950-01,53.5,1950-01-01
KEN.13336,Nyeri,1950-01,145.26,1950-01-01
KEN.13337,Kwale,1950-01,45.88,1950-01-01
KEN.13338,Nyandarua,1950-01,62.74,1950-01-01
KEN.13339,Kisumu,1950-01,148.25,1950-01-01
KEN.1334,Siaya,1950-01,197.11,1950-01-01
KEN.13340,Kitui,1950-01,58.01,1950-01-01
KEN.13341,Laikipia,1950-01,41.4,1950-01-01
KEN.13342,Marsabit,1950-01,27.11,1950-01-01
KEN.13343,Lamu,1950-01,20.46,1950-01-01
KEN.13344,Turkana,1950-01,16.89,1950-01-01
KEN.13345,Tharaka-Nithi,1950-01,94.46,1950-01-01
KEN.13346,Taita Taveta,1950-01,59.04,1950-01-01
KEN.13347,Samburu,1950-01,28.89,1950-01-01
KEN.1335,Migori,1950-01,190.55,1950-01-01
KEN.1336,Nakuru,1950-01,65.56,1950-01-01
