commodity,market,pricetype,forecast_date,horizon_months,forecast_price_kes,forecast_lower,forecast_upper,model_mape,reliable
Maize,Nairobi,Wholesale,2022-04-01,3,39.21,32.65,45.9,11.62,True
Maize,Nairobi,Wholesale,2022-05-01,3,29.9,22.64,36.92,11.62,True
Maize,Nairobi,Wholesale,2022-06-01,3,24.41,17.51,31.2,11.62,True
Maize,Nairobi,Wholesale,2022-04-01,6,39.21,31.97,46.72,11.62,True
Maize,Nairobi,Wholesale,2022-05-01,6,29.9,22.8,36.98,11.62,True
Maize,Nairobi,Wholesale,2022-06-01,6,24.41,17.68,31.04,11.62,True
Maize,Nairobi,Wholesale,2022-07-01,6,61.03,53.87,67.9,11.62,True
Maize,Nairobi,Wholesale,2022-08-01,6,32.1,25.53,39.18,11.62,True
Maize,Nairobi,Wholesale,2022-09-01,6,23.19,15.62,30.04,11.62,True
Maize,Nairobi,Wholesale,2022-04-01,12,39.21,32.11,46.36,11.62,True
Maize,Nairobi,Wholesale,2022-05-01,12,29.9,22.86,36.86,11.62,True
Maize,Nairobi,Wholesale,2022-06-01,12,24.41,17.35,31.74,11.62,True
Maize,Nairobi,Wholesale,2022-07-01,12,61.03,53.89,68.15,11.62,True
Maize,Nairobi,Wholesale,2022-08-01,12,32.1,24.97,39.16,11.62,True
Maize,Nairobi,Wholesale,2022-09-01,12,23.19,16.15,30.21,11.62,True
Maize,Nairobi,Wholesale,2022-10-01,12,29.99,23.34,36.95,11.62,True
Maize,Nairobi,Wholesale,2022-11-01,12,35.28,28.37,42.47,11.62,True
Maize,Nairobi,Wholesale,2022-12-01,12,40.89,34.21,47.82,11.62,True
Maize,Nairobi,Wholesale,2023-01-01,12,37.64,31.28,44.74,11.62,True
Maize,Nairobi,Wholesale,2023-02-01,12,22.48,15.37,29.45,11.62,True
Maize,Nairobi,Wholesale,2023-03-01,12,34.94,27.71,42.13,11.62,True
Maize,Nakuru,Wholesale,2022-05-01,3,33.48,26.59,41.0,10.26,True
Maize,Nakuru,Wholesale,2022-06-01,3,33.33,25.55,41.09,10.26,True
Maize,Nakuru,Wholesale,2022-07-01,3,33.78,26.45,40.94,10.26,True
Maize,Nakuru,Wholesale,2022-05-01,6,33.48,26.1,41.07,10.26,True
Maize,Nakuru,Wholesale,2022-06-01,6,33.33,25.96,41.11,10.26,True
Maize,Nakuru,Wholesale,2022-07-01,6,33.78,26.23,41.11,10.26,True
Maize,Nakuru,Wholesale,2022-08-01,6,31.64,23.69,38.82,10.26,True
Maize,Nakuru,Wholesale,2022-09-01,6,29.66,22.33,37.07,10.26,True
Maize,Nakuru,Wholesale,2022-10-01,6,29.19,21.79,37.26,10.26,True
Maize,Nakuru,Wholesale,2022-05-01,12,33.48,26.03,40.84,10.26,True
