commodity,market,pricetype,region,prophet_mape,chronos_mape
Maize,Nairobi,Wholesale,Nairobi,11.56,8.76
Maize,Nakuru,Wholesale,Rift Valley,9.9,5.9
Maize,Mombasa,Wholesale,Coast,15.55,12.01
Maize,Kisumu,Wholesale,Nyanza,16.47,20.74
Maize,Kitui,Retail,Eastern,7.46,8.07
Maize,Meru,Retail,Eastern,12.85,8.44
Maize,Makueni,Retail,Eastern,4.06,2.6
Maize,Wajir,Retail,North Eastern,13.45,8.2
Maize,Mandera,Retail,North Eastern,11.35,7.81
Maize,Marsabit,Retail,North Eastern,15.54,7.79
Maize,Isiolo,Retail,Eastern,10.43,13.36
Beans,Nairobi,Wholesale,Nairobi,18.83,10.52
Beans,Nakuru,Wholesale,Rift Valley,13.48,11.83
Beans,Kisumu,Wholesale,Nyanza,9.26,8.2
Beans,Eldoret,Wholesale,Rift Valley,24.21,12.91
Beans (dry),Nairobi,Wholesale,Nairobi,20.09,20.11
Beans (dry),Nakuru,Wholesale,Rift Valley,24.62,17.51
Beans (dry),Nakuru,Retail,Rift Valley,15.17,3.15
Beans (dry),Kisumu,Wholesale,Nyanza,13.92,15.35
Beans (dry),Kitui,Retail,Eastern,9.58,15.03
Beans (dry),Eldoret,Wholesale,Rift Valley,6.84,6.8
Beans (mixed),Kitui,Retail,Eastern,16.29,11.04
Beans (mixed),Meru,Retail,Eastern,21.7,21.65
Beans (mixed),Makueni,Retail,Eastern,4.23,10.15
Beans (mixed),Marsabit,Retail,North Eastern,16.46,5.83
Sorghum,Nairobi,Wholesale,Nairobi,24.84,33.82
Sorghum,Nakuru,Wholesale,Rift Valley,18.68,16.01
Sorghum,Kisumu,Wholesale,Nyanza,23.19,13.33
Sorghum,Eldoret,Wholesale,Rift Valley,22.42,3.83
Maize meal,Nairobi,Retail,Nairobi,20.02,11.19
