commodity,pricetype,lag_months,correlation,observations,series
Beans,Wholesale,0,-0.057832445739741244,163,Beans - Wholesale
Beans,Wholesale,1,-0.059889423349206355,163,Beans - Wholesale
Beans,Wholesale,2,-0.11356185273044007,163,Beans - Wholesale
Beans,Wholesale,3,-0.17379374545727322,163,Beans - Wholesale
Beans,Wholesale,4,-0.23778711889922696,163,Beans - Wholesale
Beans,Wholesale,5,-0.2598781736673557,163,Beans - Wholesale
Beans,Wholesale,6,-0.23319652088905254,163,Beans - Wholesale
Beans (dolichos),Wholesale,0,-0.0709581196276587,42,Beans (dolichos) - Wholesale
Beans (dolichos),Wholesale,1,-0.14446100573577728,42,Beans (dolichos) - Wholesale
Beans (dolichos),Wholesale,2,-0.19173426004393734,42,Beans (dolichos) - Wholesale
Beans (dolichos),Wholesale,3,-0.14356018465797807,42,Beans (dolichos) - Wholesale
Beans (dolichos),Wholesale,4,-0.1567166310740575,42,Beans (dolichos) - Wholesale
Beans (dolichos),Wholesale,5,-0.1994513036523796,42,Beans (dolichos) - Wholesale
Beans (dolichos),Wholesale,6,-0.08305887312405497,42,Beans (dolichos) - Wholesale
Beans (dry),Retail,0,-0.055581331792075875,215,Beans (dry) - Retail
Beans (dry),Retail,1,-0.05898570831047319,215,Beans (dry) - Retail
Beans (dry),Retail,2,-0.09565474324346115,215,Beans (dry) - Retail
Beans (dry),Retail,3,-0.1700232364441821,215,Beans (dry) - Retail
Beans (dry),Retail,4,-0.2153495410637946,215,Beans (dry) - Retail
Beans (dry),Retail,5,-0.24354939359370797,215,Beans (dry) - Retail
Beans (dry),Retail,6,-0.2689491363368195,215,Beans (dry) - Retail
Beans (dry),Wholesale,0,0.06322717369554272,159,Beans (dry) - Wholesale
Beans (dry),Wholesale,1,-0.01977736783767634,159,Beans (dry) - Wholesale
Beans (dry),Wholesale,2,-0.05396464670529523,159,Beans (dry) - Wholesale
Beans (dry),Wholesale,3,-0.10496854009950139,159,Beans (dry) - Wholesale
Beans (dry),Wholesale,4,-0.16557746739953963,159,Beans (dry) - Wholesale
Beans (dry),Wholesale,5,-0.16997090897860884,159,Beans (dry) - Wholesale
Beans (dry),Wholesale,6,-0.13634084933355284,159,Beans (dry) - Wholesale
Beans (rosecoco),Wholesale,0,0.3293628742319804,37,Beans (rosecoco) - Wholesale
Beans (rosecoco),Wholesale,1,0.19560570380205272,37,Beans (rosecoco) - Wholesale
Beans (rosecoco),Wholesale,2,0.10026955642212004,37,Beans (rosecoco) - Wholesale
Beans (rosecoco),Wholesale,3,-0.006996675435287135,36,Beans (rosecoco) - Wholesale
Beans (rosecoco),Wholesale,4,-0.08665758553261385,36,Beans (rosecoco) - Wholesale
Beans (rosecoco),Wholesale,5,-0.14683756721331215,36,Beans (rosecoco) - Wholesale
Beans (rosecoco),Wholesale,6,-0.19499233243578712,36,Beans (rosecoco) - Wholesale
Beans (yellow),Wholesale,0,-0.3391485436401516,28,Beans (yellow) - Wholesale
Beans (yellow),Wholesale,1,-0.4153065637760144,28,Beans (yellow) - Wholesale
Beans (yellow),Wholesale,2,-0.40875641812565033,28,Beans (yellow) - Wholesale
Beans (yellow),Wholesale,3,-0.36083839765288994,28,Beans (yellow) - Wholesale
Beans (yellow),Wholesale,4,-0.42648265537247126,28,Beans (yellow) - Wholesale
Beans (yellow),Wholesale,5,-0.4314525532781047,28,Beans (yellow) - Wholesale
Beans (yellow),Wholesale,6,-0.3356030337713244,28,Beans (yellow) - Wholesale
Bread,Retail,0,-0.11553059745068427,166,Bread - Retail
Bread,Retail,1,-0.10173492476399537,166,Bread - Retail
Bread,Retail,2,-0.04763567490020696,166,Bread - Retail
Bread,Retail,3,0.016639429006548467,166,Bread - Retail
Bread,Retail,4,0.005193696591200797,166,Bread - Retail
Bread,Retail,5,0.0020567065321026277,166,Bread - Retail
Bread,Retail,6,0.038792594468185004,166,Bread - Retail
Cabbage,Wholesale,0,0.18460375007345742,45,Cabbage - Wholesale
Cabbage,Wholesale,1,0.06034817412209697,45,Cabbage - Wholesale
Cabbage,Wholesale,2,-0.06702526794172996,45,Cabbage - Wholesale
Cabbage,Wholesale,3,0.144329614968166,45,Cabbage - Wholesale
Cabbage,Wholesale,4,0.1336337946819654,45,Cabbage - Wholesale
Cabbage,Wholesale,5,-0.006708263189556472,45,Cabbage - Wholesale
Cabbage,Wholesale,6,-0.07973066527331689,45,Cabbage - Wholesale
Cowpeas,Wholesale,0,-0.1500665544563644,47,Cowpeas - Wholesale
Cowpeas,Wholesale,1,-0.1864362056824605,47,Cowpeas - Wholesale
Cowpeas,Wholesale,2,-0.17058366863085317,47,Cowpeas - Wholesale
