lagged_bucket,avg_yoy_price_change_pct,median_yoy_price_change_pct,observations,lag_months
Dry anomaly,11.209190053331128,3.891565528949159,418,0
Normal rainfall,15.090572379539772,4.878048780487809,2145,0
Wet anomaly,8.883045424138544,2.2727272727272707,555,0
Dry anomaly,11.99602408888518,6.265761229782196,394,1
Normal rainfall,12.310121595179167,4.5092357841361785,2133,1
Wet anomaly,19.33014455671415,2.2727272727272707,552,1
Dry anomaly,12.302111446540923,5.111916021595064,368,2
Normal rainfall,15.49163867129524,5.035628839803685,2123,2
Wet anomaly,7.023325856189287,2.2727272727272707,549,2
Dry anomaly,10.694305844477789,3.7835589930014457,346,3
Normal rainfall,16.209081389838094,5.515586307356157,2117,3
Wet anomaly,5.372480578520054,1.5438661366367734,539,3
Dry anomaly,11.970956122389614,5.218893007969861,326,4
Normal rainfall,16.08760093064119,5.269186328851083,2106,4
Wet anomaly,5.077236704129619,1.141317344337467,532,4
Dry anomaly,12.227131853968025,3.99356325246355,306,5
Normal rainfall,16.24884271090931,5.909090909090908,2095,5
Wet anomaly,4.24004613310728,0.0,525,5
Dry anomaly,11.567191645533134,4.285714285714293,295,6
Normal rainfall,16.328278785859652,5.7419083679562615,2076,6
Wet anomaly,3.828579336840914,0.0,517,6
