commodity,horizon,mape
Maize,3,17.75
Maize,6,11.42
Maize,12,12.12
Maize,3,18.09
Maize,6,11.81
Maize,12,9.9
Maize,3,24.0
Maize,6,20.79
Maize,12,15.54
Maize,3,17.52
Maize,6,15.6
Maize,12,16.47
Maize,3,6.36
Maize,6,8.64
Maize,12,7.46
Maize,3,27.03
Maize,6,17.29
Maize,12,12.85
Maize,3,5.19
Maize,6,4.37
Maize,12,4.06
Maize,3,3.16
Maize,6,9.04
Maize,12,13.45
Maize,3,6.39
Maize,6,11.91
Maize,12,11.35
Maize,3,8.85
Maize,6,6.8
Maize,12,15.54
Maize,3,10.89
Maize,6,8.45
Maize,12,10.43
Beans,3,9.73
Beans,6,14.25
Beans,12,18.83
Beans,3,7.96
Beans,6,18.78
Beans,12,13.48
Beans,3,19.93
Beans,6,13.09
Beans,12,9.26
Beans,3,17.85
Beans,6,20.16
Beans,12,24.21
Beans (dry),3,13.16
Beans (dry),6,24.38
Beans (dry),12,20.09
Beans (dry),3,12.91
Beans (dry),6,20.98
Beans (dry),12,24.62
Beans (dry),3,22.2
Beans (dry),6,18.95
Beans (dry),12,15.17
Beans (dry),3,20.14
Beans (dry),6,14.22
Beans (dry),12,13.92
Beans (dry),3,7.53
Beans (dry),6,9.67
Beans (dry),12,9.58
Beans (dry),3,9.53
Beans (dry),6,6.46
Beans (dry),12,6.84
Beans (mixed),3,10.6
Beans (mixed),6,11.06
Beans (mixed),12,16.29
Beans (mixed),3,26.51
Beans (mixed),6,34.52
Beans (mixed),12,21.7
Beans (mixed),3,8.06
Beans (mixed),6,5.59
Beans (mixed),12,4.23
Beans (mixed),3,5.49
Beans (mixed),6,7.09
Beans (mixed),12,16.46
Sorghum,3,7.83
Sorghum,6,19.93
Sorghum,12,24.84
Sorghum,3,24.38
Sorghum,6,25.62
Sorghum,12,18.68
Sorghum,3,6.0
Sorghum,6,4.36
Sorghum,12,23.19
Sorghum,3,18.19
Sorghum,6,20.27
Sorghum,12,22.42
Maize meal,3,9.83
Maize meal,6,9.06
Maize meal,12,20.02
