commodity,market,pricetype,region,current_volatility_pct,median_volatility_pct,trend
Maize,Isiolo,Wholesale,Eastern,44.1,16.8,rising
Maize,Lodwar,Retail,—,38.6,31.0,rising
Maize,Taveta,Wholesale,—,38.5,16.8,rising
Sorghum,Eldoret,Wholesale,Rift Valley,36.9,15.3,rising
Sorghum,Kitui,Wholesale,Eastern,35.5,19.2,rising
Beans (mixed),Maua,Retail,—,32.6,16.7,rising
Sorghum,Taveta,Wholesale,—,31.6,25.6,rising
Sorghum,Isiolo,Wholesale,Eastern,30.6,13.5,rising
Maize,Korokocho,Retail,—,30.0,30.2,stable
Sorghum,Kitale,Wholesale,—,28.9,21.2,rising
Beans (mixed),Kutus,Retail,—,28.2,14.9,rising
Maize,Muthithi,Retail,—,27.0,25.7,stable
Maize,Kiriaini,Retail,—,25.8,25.9,stable
Beans (dry),Taveta,Wholesale,—,25.1,10.1,rising
Sorghum,Kisumu,Wholesale,Nyanza,24.2,12.2,rising
Beans (mixed),Kawangware,Retail,—,24.0,22.0,stable
Sorghum,Mombasa,Wholesale,Coast,23.4,13.5,rising
Beans (mixed),Muthithi,Retail,—,22.2,9.8,rising
Beans (dry),Eldoret,Wholesale,Rift Valley,21.3,13.4,rising
Maize,Muthurwa,Retail,—,21.1,26.7,falling
Beans (dry),Busia,Wholesale,—,20.7,18.6,stable
Beans (dry),Mombasa,Wholesale,Coast,20.4,11.3,rising
Maize,Busia,Wholesale,—,20.3,20.3,stable
Maize,Nanyuki,Retail,—,20.1,16.2,rising
Maize,Burma,Retail,—,19.0,28.0,falling
Sorghum,Nairobi,Wholesale,Nairobi,18.4,10.4,rising
Maize,Kiambu,Retail,—,17.9,24.2,falling
Beans (mixed),Meru,Retail,Eastern,17.7,17.2,stable
Beans (mixed),Bondo,Retail,—,17.3,16.7,stable
Beans (mixed),Embu Town,Retail,—,16.8,14.0,stable
Sorghum,Busia,Wholesale,—,16.7,13.3,rising
Beans (mixed),Kiritiri,Retail,—,16.7,12.4,rising
Beans (mixed),Lodwar,Retail,—,16.6,16.8,stable
Beans (mixed),Wajir Town,Retail,—,16.6,16.9,stable
Maize,Eldoret,Wholesale,Rift Valley,16.4,16.5,stable
Beans (mixed),Iten,Retail,—,16.1,16.4,stable
Maize,Kipkaren,Retail,—,15.8,18.0,stable
Maize,Garissa Town,Retail,—,15.7,9.3,rising
Maize,Eldoret,Retail,Rift Valley,15.5,15.2,stable
Maize,Nyabite,Retail,—,15.4,15.8,stable
Maize,Kwale,Retail,—,15.2,11.6,rising
Maize,Mombasa,Wholesale,Coast,15.2,13.1,stable
Maize,Daraja Mbili,Retail,—,15.1,17.2,stable
Beans (mixed),Korokocho,Retail,—,14.7,26.9,falling
Beans (dry),Kisumu,Wholesale,Nyanza,14.6,11.4,rising
Maize,Kutus,Retail,—,14.3,14.3,stable
Beans (dry),Isiolo,Wholesale,Eastern,14.3,9.9,rising
Maize,West Pokot,Retail,—,14.2,16.3,stable
Beans (mixed),Iciara,Retail,—,13.8,11.9,stable
Beans (mixed),Kajiado,Retail,—,13.8,8.2,rising
Beans (mixed),Kakamega,Retail,—,13.7,13.7,stable
Beans (mixed),Muthurwa,Retail,—,13.6,22.0,falling
Maize,Kangemi,Retail,—,13.5,32.1,falling
Maize,Embu Town,Retail,—,13.5,17.5,falling
Maize,Sotik,Retail,—,13.3,13.6,stable
Beans (mixed),Makutano,Retail,—,13.3,16.0,stable
Beans (mixed),Eldoret,Retail,Rift Valley,13.2,11.2,stable
Beans (mixed),Mkunguni,Retail,—,13.2,7.3,rising
Beans (mixed),Bumala,Retail,—,13.0,19.5,falling
Maize,Iciara,Retail,—,12.7,15.7,stable
Maize,Iten,Retail,—,12.5,25.5,falling
Beans (mixed),Githurai,Retail,—,12.4,9.7,rising
Maize,Meru,Retail,Eastern,12.3,18.9,falling
Beans (mixed),Hola,Retail,—,11.9,7.5,rising
Maize,Kitale,Wholesale,—,11.9,19.4,falling
Maize,Bondo,Retail,—,11.8,12.9,stable
Maize,Kitui,Wholesale,Eastern,11.8,16.8,falling
Maize,Thika,Retail,—,11.8,14.4,stable
Maize,Nyahururu,Retail,—,11.8,11.8,stable
Beans (mixed),Kipkaren,Retail,—,11.5,13.6,stable
Maize,Runyenjes,Retail,—,11.5,19.0,falling
Beans (mixed),Soko Mjinga,Retail,—,11.3,19.4,falling
Maize,Nairobi,Wholesale,Nairobi,11.2,13.2,stable
Beans (mixed),Runyenjes,Retail,—,11.2,12.0,stable
