commodity,market,region,pricetype,strategy,forecast_date,horizon_months,forecast_price_kes,forecast_lower,forecast_upper,test_mape,confidence
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-08-01,3,53.72,49.91,54.75,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-09-01,3,53.46,47.08,55.24,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-10-01,3,53.21,43.55,56.0,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-08-01,6,53.72,48.9,54.98,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-09-01,6,53.72,46.57,55.49,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-10-01,6,53.72,45.48,57.01,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-11-01,6,52.96,43.53,58.05,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-12-01,6,51.18,42.77,57.77,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2027-01-01,6,49.79,39.48,56.86,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-08-01,12,53.72,49.31,55.77,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-09-01,12,53.59,47.13,55.74,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-10-01,12,52.96,44.42,56.02,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-11-01,12,52.32,39.48,55.79,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2026-12-01,12,51.18,38.66,55.56,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2027-01-01,12,50.93,37.75,57.29,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2027-02-01,12,49.53,36.49,57.03,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2027-03-01,12,50.29,35.68,56.76,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2027-04-01,12,49.03,36.18,57.03,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2027-05-01,12,49.41,34.91,57.01,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2027-06-01,12,50.67,34.94,58.05,15.37,medium
Maize,Nairobi,Nairobi,Wholesale,chronos,2027-07-01,12,49.91,35.88,58.78,15.37,medium
Maize,Mombasa,Coast,Wholesale,sarima,2025-12-01,3,52.17,44.67,59.67,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-01-01,3,50.79,40.68,60.91,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-02-01,3,50.18,38.07,62.28,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2025-12-01,6,52.17,44.67,59.67,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-01-01,6,50.79,40.68,60.91,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-02-01,6,50.18,38.07,62.28,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-03-01,6,50.77,36.96,64.58,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-04-01,6,52.48,37.16,67.81,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-05-01,6,57.64,40.93,74.34,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2025-12-01,12,52.17,44.67,59.67,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-01-01,12,50.79,40.68,60.91,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-02-01,12,50.18,38.07,62.28,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-03-01,12,50.77,36.96,64.58,18.61,medium
