commodity,market,pricetype,date,price_per_kg,rainfall_mm,GPR,diesel_price_kes,source,admin1,latitude,longitude,category,rainfall_source
Beans (dry),Busia,Wholesale,2014-11-01,75.5,113.3,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2016-03-01,95.0,65.93,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2016-04-01,90.0,264.59,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2016-05-01,100.0,208.4,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2016-06-01,87.22222222222223,84.67,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2016-07-01,82.5,102.53,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2016-08-01,80.0,63.37,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2016-09-01,90.0,184.81,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2016-10-01,88.33333333333333,123.53999999999999,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2016-11-01,95.0,83.23,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2016-12-01,93.33333333333331,12.74,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-01-01,100.0,50.5,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-02-01,96.66666666666669,107.64,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-03-01,111.26388888888889,144.51,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-04-01,132.5,128.15,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-05-01,112.5,293.16,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-07-01,75.0,115.66,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-08-01,85.0,170.65,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-09-01,88.66666666666667,348.65999999999997,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-10-01,80.0,205.31,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-11-01,78.33333333333333,219.68,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2017-12-01,90.0,18.81,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-01-01,96.25,11.98,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-02-01,100.5,67.98,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-03-01,107.5,287.87,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-04-01,85.0,420.18,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-05-01,57.0,278.96,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-06-01,76.875,158.6,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-07-01,71.66666666666667,99.78,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-08-01,71.0,148.4,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-09-01,70.0,220.58999999999997,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-10-01,74.125,159.57,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-11-01,70.0,145.87,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2018-12-01,73.33333333333333,146.9,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-01-01,80.0,22.279999999999998,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-02-01,91.04166666666669,38.620000000000005,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-03-01,97.0,51.38,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-04-01,107.5,227.29999999999998,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-05-01,115.41666666666669,330.26,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-06-01,116.25,224.25,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-07-01,92.5,177.26,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-08-01,102.962962963,241.45,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-09-01,140.0,180.84,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-10-01,134.58333333333334,356.78,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-11-01,118.66666666666669,224.61,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2019-12-01,125.0,281.63,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2020-01-01,98.22222222222224,208.97,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2020-02-01,118.75,135.73,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2020-03-01,125.0,452.25,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2020-04-01,125.0,261.78999999999996,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2020-08-01,126.66666666666669,252.62,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2020-09-01,120.0,508.45,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2020-10-01,120.0,230.16,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2020-11-01,96.66666666666669,312.62,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2020-12-01,89.16666666666667,87.69,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2021-01-01,51.77777777777778,75.81,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2021-02-01,100.0,20.4,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2021-04-01,100.0,190.9,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2021-05-01,100.0,193.67000000000002,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2021-06-01,75.0,52.6,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2021-10-01,65.0,123.31,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2021-11-01,60.0,98.10000000000001,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2021-12-01,69.125,75.75,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2022-01-01,71.66666666666667,78.95,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2022-02-01,70.0,27.34,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2022-03-01,76.25555555555556,94.91,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2022-04-01,86.66666666666667,146.05,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2022-05-01,100.0,256.81,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2022-06-01,95.0,103.27,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
