market,requested_commodity,source_commodity,unit,months_expected,months_obtained,first_date,last_date,missing_months,notes
Nairobi,Sorghum,Sorghum (Red),90_kg,27,17,2019-10-31,2021-12-31,2020-05;2020-06;2020-07;2021-02;2021-03;2021-04;2021-05;2021-06;2021-08;2021-09,"Missing API values in: 2020-05,2020-06,2020-07,2021-02,2021-03,2021-04,2021-05,2021-06,2021-08,2021-09"
Nakuru,Sorghum,Sorghum (Red),,27,0,,,2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12,No FEWS row for this market/product
Kisumu,Sorghum,Sorghum (Red),90_kg,27,14,2019-10-31,2021-12-31,2019-11;2019-12;2020-01;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2021-02,"Missing API values in: 2019-11,2019-12,2020-01,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2021-02"
Eldoret,Sorghum,Sorghum (Red),90_kg,27,15,2019-10-31,2021-12-31,2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2021-01;2021-02;2021-06;2021-07;2021-08;2021-09,"Missing API values in: 2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2021-01,2021-02,2021-06,2021-07,2021-08,2021-09"
Mombasa,Sorghum,Sorghum (Red),90_kg,27,7,2020-01-31,2021-12-31,2019-10;2019-11;2019-12;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-11,"Missing API values in: 2019-10,2019-11,2019-12,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-11"
Nairobi,Dry beans,Beans (Rosecoco),90_kg,27,27,2019-10-31,2021-12-31,,Complete numeric FEWS monthly series
Nakuru,Dry beans,Beans (Rosecoco),,27,0,,,2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12,No FEWS row for this market/product
Kisumu,Dry beans,Beans (Rosecoco),90_kg,27,23,2019-10-31,2021-12-31,2020-03;2020-04;2020-05;2021-01,"Missing API values in: 2020-03,2020-04,2020-05,2021-01"
Eldoret,Dry beans,Beans (Rosecoco),90_kg,27,25,2019-10-31,2021-12-31,2020-12;2021-01,"Missing API values in: 2020-12,2021-01"
Mombasa,Dry beans,Beans (Rosecoco),90_kg,27,22,2019-10-31,2021-11-30,2019-11;2020-12;2021-03;2021-04;2021-12,"Missing API values in: 2019-11,2020-12,2021-03,2021-04,2021-12"
Nairobi,Irish potatoes,Potato (White),110_kg,27,24,2019-10-31,2021-12-31,2020-05;2020-07;2021-11,"Missing API values in: 2020-05,2020-07,2021-11"
Nakuru,Irish potatoes,Potato (White),,27,0,,,2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12,No FEWS row for this market/product
Kisumu,Irish potatoes,Potato (White),110_kg,27,13,2019-10-31,2021-12-31,2019-11;2019-12;2020-01;2020-03;2020-04;2020-05;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02,"Missing API values in: 2019-11,2019-12,2020-01,2020-03,2020-04,2020-05,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02"
Eldoret,Irish potatoes,Potato (White),110_kg,27,21,2019-10-31,2021-12-31,2020-07;2020-08;2020-09;2020-10;2020-11;2020-12,"Missing API values in: 2020-07,2020-08,2020-09,2020-10,2020-11,2020-12"
Mombasa,Irish potatoes,Potato (White),,27,0,,,2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12,No FEWS row for this market/product
Mombasa,Dry maize,Maize Grain (White),90_kg,27,27,2019-10-31,2021-12-31,,Complete numeric FEWS monthly series
