date,market,commodity,price,unit,pricetype,source
2019-10-31,Eldoret,Beans (Rosecoco),7785.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-10-31,Eldoret,Potato (White),1513.0,110_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-10-31,Eldoret,Sorghum (Red),5400.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-10-31,Kisumu,Beans (Rosecoco),9200.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-10-31,Kisumu,Potato (White),2400.0,110_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-10-31,Kisumu,Sorghum (Red),4000.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-10-31,Mombasa,Beans (Rosecoco),7800.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-10-31,Mombasa,Maize Grain (White),3700.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-10-31,Nairobi,Beans (Rosecoco),10192.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-10-31,Nairobi,Potato (White),2500.0,110_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-10-31,Nairobi,Sorghum (Red),6500.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-11-30,Eldoret,Beans (Rosecoco),7965.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-11-30,Eldoret,Potato (White),1955.0,110_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-11-30,Eldoret,Sorghum (Red),5400.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-11-30,Kisumu,Beans (Rosecoco),9000.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-11-30,Mombasa,Maize Grain (White),3700.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-11-30,Nairobi,Beans (Rosecoco),9800.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-11-30,Nairobi,Potato (White),2820.0,110_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-11-30,Nairobi,Sorghum (Red),6350.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
2019-12-31,Eldoret,Beans (Rosecoco),8100.0,90_kg,Wholesale,"FEWS NET Kenya wholesale API; source_document=Ministry of Agriculture, Livestock and Fisheries, Kenya, Price; https://fdw.fews.net/api/marketpricefacts.csv?country_code=KE&start_date=2019-10-01&end_date=2021-12-31&price_type=Wholesale"
