date,market,commodity,price,unit,pricetype,source
2022-01-01,Nakuru,Beans (dry),97.3,KG,Retail,KNBS Leading Economic Indicators; https://www.knbs.or.ke/wp-content/uploads/2023/07/Kenya-Leading-Economic-Indicators-December-2022.pdf
2022-02-01,Nakuru,Beans (dry),70.8,KG,Retail,KNBS Leading Economic Indicators; https://www.knbs.or.ke/wp-content/uploads/2023/07/Kenya-Leading-Economic-Indicators-December-2022.pdf
2022-03-01,Nakuru,Beans (dry),66.7,KG,Retail,KNBS Leading Economic Indicators; https://www.knbs.or.ke/wp-content/uploads/2023/07/Kenya-Leading-Economic-Indicators-December-2022.pdf
2022-04-01,Nakuru,Beans (dry),74.2,KG,Retail,KNBS Leading Economic Indicators; https://www.knbs.or.ke/wp-content/uploads/2023/07/Kenya-Leading-Economic-Indicators-December-2022.pdf
2022-05-01,Nakuru,Beans (dry),72.7,KG,Retail,KNBS Leading Economic Indicators; https://www.knbs.or.ke/wp-content/uploads/2023/07/Kenya-Leading-Economic-Indicators-December-2022.pdf
2022-06-01,Nakuru,Beans (dry),69.2,KG,Retail,KNBS Leading Economic Indicators; https://www.knbs.or.ke/wp-content/uploads/2023/07/Kenya-Leading-Economic-Indicators-December-2022.pdf
2022-07-01,Nakuru,Beans (dry),67.1,KG,Retail,KNBS Leading Economic Indicators; https://www.knbs.or.ke/wp-content/uploads/2023/07/Kenya-Leading-Economic-Indicators-December-2022.pdf
2022-08-01,Nakuru,Beans (dry),76.7,KG,Retail,KNBS Leading Economic Indicators; https://www.knbs.or.ke/wp-content/uploads/2023/07/Kenya-Leading-Economic-Indicators-December-2022.pdf
2022-09-01,Nakuru,Beans (dry),74.2,KG,Retail,KNBS Leading Economic Indicators; https://www.knbs.or.ke/wp-content/uploads/2023/07/Kenya-Leading-Economic-Indicators-December-2022.pdf
2022-10-01,Nakuru,Beans (dry),82.0,KG,Retail,KNBS Leading Economic Indicators; https://www.knbs.or.ke/wp-content/uploads/2023/07/Kenya-Leading-Economic-Indicators-December-2022.pdf
