date,market,commodity,price,unit,pricetype,source
2022-01-01,Eldoret,Beans (Canadian wonder),61.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Eldoret,Beans (Mwezi Moja),65.272727,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Eldoret,Beans (Mwitemania),68.375,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Eldoret,Beans (Yellow-Green),71.25,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Eldoret,Beans Red Haricot (Wairimu),63.7,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Eldoret,Beans Rosecoco,69.571429,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Eldoret,Dry Maize,36.802222,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Eldoret,Red Irish potato,52.75,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Eldoret,Red Sorghum,62.166667,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Eldoret,White Irish Potatoes,43.472353,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Eldoret,White Sorghum,40.0,kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,Beans (Canadian wonder),106.67,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,Beans (Mwezi Moja),103.61,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,Beans (Mwitemania),97.78,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,Beans (Yellow-Green),134.165,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,Beans Red Haricot (Wairimu),108.666,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,Beans Rosecoco,121.3175,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,Dry Maize,40.267037,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,Red Irish potato,30.5,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,Red Sorghum,47.442667,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,White Irish Potatoes,38.090909,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Kisumu,White Sorghum,55.0,kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nairobi,Beans (Canadian wonder),90.999,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nairobi,Beans (Mwezi Moja),1079.4425,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nairobi,Beans (Mwitemania),96.348571,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nairobi,Beans (Yellow-Green),1925.454545,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nairobi,Beans Red Haricot (Wairimu),2361.38875,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nairobi,Beans Rosecoco,1179.382222,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nairobi,Dry Maize,50.486923,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nairobi,Red Irish potato,50.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nairobi,Red Sorghum,61.5,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nairobi,White Irish Potatoes,38.666667,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nakuru,Beans (Canadian wonder),63.863636,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nakuru,Beans (Mwezi Moja),73.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nakuru,Beans (Mwitemania),62.619048,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nakuru,Beans (Yellow-Green),75.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nakuru,Beans Red Haricot (Wairimu),61.73913,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nakuru,Beans Rosecoco,71.363636,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nakuru,Dry Maize,66.535179,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nakuru,Red Sorghum,48.1,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nakuru,White Irish Potatoes,55.4,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-01,Nakuru,White Sorghum,50.0,kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-01-31,Eldoret,Beans (Rosecoco),5820.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-01-31,Eldoret,Maize Grain (White),4050.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-01-31,Eldoret,Potato (White),1698.333333,110_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-01-31,Eldoret,Sorghum (Red),3600.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-01-31,Kisumu,Beans (Rosecoco),11196.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-01-31,Kisumu,Maize Grain (White),3699.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-01-31,Kisumu,Potato (White),2312.5,110_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-01-31,Mombasa,Beans (Rosecoco),9900.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-01-31,Mombasa,Maize Grain (White),3600.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
