market,admin1,latitude,longitude,date,rainfall_mm_market
Adele Center,Coast,-0.47,39.61,2006-01-01,10.85
Adele Center,Coast,-0.47,39.61,2006-02-01,12.32
Adele Center,Coast,-0.47,39.61,2006-03-01,36.89
Adele Center,Coast,-0.47,39.61,2006-04-01,151.5
Adele Center,Coast,-0.47,39.61,2006-05-01,70.99
Adele Center,Coast,-0.47,39.61,2006-06-01,20.4
Adele Center,Coast,-0.47,39.61,2006-07-01,10.85
Adele Center,Coast,-0.47,39.61,2006-08-01,14.26
Adele Center,Coast,-0.47,39.61,2006-09-01,27.3
Adele Center,Coast,-0.47,39.61,2006-10-01,94.86
Adele Center,Coast,-0.47,39.61,2006-11-01,260.7
Adele Center,Coast,-0.47,39.61,2006-12-01,155.62
Adele Center,Coast,-0.47,39.61,2007-01-01,19.53
Adele Center,Coast,-0.47,39.61,2007-02-01,3.36
Adele Center,Coast,-0.47,39.61,2007-03-01,22.63
Adele Center,Coast,-0.47,39.61,2007-04-01,59.4
Adele Center,Coast,-0.47,39.61,2007-05-01,107.57
Adele Center,Coast,-0.47,39.61,2007-06-01,20.4
Adele Center,Coast,-0.47,39.61,2007-07-01,8.99
Adele Center,Coast,-0.47,39.61,2007-08-01,33.79
Adele Center,Coast,-0.47,39.61,2007-09-01,35.4
Adele Center,Coast,-0.47,39.61,2007-10-01,71.61
Adele Center,Coast,-0.47,39.61,2007-11-01,114.3
Adele Center,Coast,-0.47,39.61,2007-12-01,45.57
Adele Center,Coast,-0.47,39.61,2008-01-01,31.31
Adele Center,Coast,-0.47,39.61,2008-02-01,1.16
Adele Center,Coast,-0.47,39.61,2008-03-01,58.9
Adele Center,Coast,-0.47,39.61,2008-04-01,92.1
Adele Center,Coast,-0.47,39.61,2008-05-01,54.25
Adele Center,Coast,-0.47,39.61,2008-06-01,22.2
Adele Center,Coast,-0.47,39.61,2008-07-01,6.82
Adele Center,Coast,-0.47,39.61,2008-08-01,6.82
Adele Center,Coast,-0.47,39.61,2008-09-01,3.0
Adele Center,Coast,-0.47,39.61,2008-10-01,35.96
